"City","date","pm25","pm10"
"Dnipro",2019-06-12,38,16
"Dnipro",2019-06-11,58,15
"Dnipro",2019-06-10,32,24
"Dnipro",2019-06-09,22,13
"Dnipro",2019-06-08,26,12
"Dnipro",2019-06-07,20,15
"Dnipro",2019-06-06,28,12
"Dnipro",2019-06-05,59,12
"Dnipro",2019-06-04,41,22
"Dnipro",2019-06-03,35,16
"Dnipro",2019-06-02,47,13
"Dnipro",2019-06-01,39,21
"Dnipro",2019-05-31,27,18
"Dnipro",2019-05-30,26,13
"Dnipro",2019-05-29,43,10
"Dnipro",2019-05-28,40,15
"Dnipro",2019-05-27,65,16
"Dnipro",2019-05-26,57,26
"Dnipro",2019-05-25,55,19
"Dnipro",2019-05-24,49,20
"Dnipro",2019-05-23,39,16
"Dnipro",2019-05-22,16,16
"Dnipro",2019-05-21,14,11
"Dnipro",2019-05-20,19,9
"Dnipro",2019-05-19,32,9
"Dnipro",2019-05-18,53,12
"Dnipro",2019-05-17,49,18
"Dnipro",2019-05-16,69,21
"Dnipro",2019-05-15,56,28
"Dnipro",2019-05-14,68,20
"Dnipro",2019-05-13,73,25
"Dnipro",2019-05-12,34,29
"Dnipro",2019-05-11,35,11
"Dnipro",2019-05-10,43,12
"Dnipro",2019-05-09,91,17
"Dnipro",2019-05-08,27,44
"Dnipro",2019-05-07,19,15
"Dnipro",2019-05-06,28,10
"Dnipro",2019-05-05,34,12
